Küsimus	Vastus A)	Vastus B)	Vastus C)	Õige vastus
Kui pikk on lese eluiga?	30-35 päeva	2 kuud või kuni mesilasema viljastamiseni	suvel 2 kuud ja talvituvad lesed elavad esimese puhastuslennuni	b
Kas lesk võib nõeluda kui teda sõrmega tögada?	jah	ei		b
Lesk omab ainult emapoolseid geene (ja kannab edasi tema omadusi), sest..	ta arenes viljastatud munast	ta arenes viljastamata munast		b
Kui pikk on lese ja töölismesilase avashaudme munastaadium?	1 päev	3 päeva	5 päeva	b
Kuidas toimub valmiku koorumine?	amm-mesilane närib kannukaane läbi	valmik närib ise kannukaane läbi	kannukaas muutub ise õigel ajahetkel rabedaks	b
Kes aetakse sügisel tarust välja?	lest	lesk		b
Kui mesilasema peaks varakevadel hukkuma, kas mesilaspere suudab end ise päästa?	kui lahtine haue on olemas, siis mesilased teevad ruttu aseema kupu ja pere jätkusuutlikus on tagatud	kui avashaue on olemas, siis mesilased teevad ruttu aseema kupu, kuid leskede puudumisel jääb mesilasema paarumata ja pere ei saa edasi areneda		b
Lesk muutub suguküpseks..	kohe peale koorumist	u 12 päeva peale koorumist	peale pulmalennul käimist	b
Mesilasema areneb emakupus.. 24 päeva (lahtine haue 10 ja kaanetatud haue 14 päevab21 päeva (lahtine 9 päeva ja kaanetatud haue 12 päevac16 päeva (lahtine haue 8 ja kaanetatud haue 8 päeva)	24 päeva (lahtine haue 10 ja kaanetatud haue 14 päeva)	21 päeva (lahtine 9 päeva ja kaanetatud haue 12 päeva)	16 päeva (lahtine haue 8 ja kaanetatud haue 8 päeva)	c
Kui kuni kolme päeva vanust töölisvakla (keda on toidetud töölisvagla toitepiimagahakatakse edasi toitma ematoitepiimaga, siis areneb temast..	hakatakse edasi toitma ematoitepiimaga, siis areneb temast.. töölismesilane, sest ta sai juba töölisvagla toitepiima	mesilasema	lesk	b
Mesilasema on suguküps..	5 päeva peale koorumist	peale pulmalendu	kohe peale koorumist	a
Meemesilane on..	ühiseluline putukas - suudavad elada vaid üheskoos suure perena	ühiseluline putukas, kuid suudab vajadusel ka üksi elada väljaspool mesilaspere		a
Mis on "plaathaue?"	kvaliteetne mesilasema on munenud täis peaaegu kõik tööliskannud kogu kärjepinna ulatuses	ohtra lesehaudmega kärg		a
Mis juhtub kui mesilaskäik on suurem kui 9 mm?	mesilased võivad ehitada sinna kärje	mesilased kitivad selle taruvaiguga kinni		a
Mis juhtub kui mesilaskäik on väiksem kui 5mm?	mesilased võivad ehitada sinna kärje	mesilased kitivad selle taruvaiguga kinni		b
Kuidas asetsevad pesaruumis kärjed?	pesaruumi keskel on suirakärjed, seda ümbritsevad meekärjed ja haudmekärjed vaheldumisi	pesaruumi keskel on haudmekärjed, seda ümbritsevad suirakärjed ning meekärjed asuvad pesaruumi äärtes		b
Kuidas asetseb mee-, suira- ja haudmevöö kärjel?	kärje keskel on meevöö, seejärel suiravöö ning haue asub kärje äärtes	kärje keskel on haudmevöö, seejärel suiravöö ning mesi asub kärje äärtes		b
Kas mesilased hoiavad haudme- ja meekärje otstarbe alati üksteisest lahus?	jah, haudmekannudesse ei pakita kunagi nektarit	ei, mesilased kasutavad vajadusel samu kärgesid erinevaks otstarbeks		b
Sülemikupp..	ehitatakse tööliskannu põhja laiendades ning juba olemasolevale noorele töölisvaglale	ehitatakse valmis sülemlemisperioodil, tavaliselt kärje äärde ning mesilasema "sunnitakse" sinna munema	ehitatakse sülemlemisperioodil alati igaks-juhuks valmis	a
Kui emakupp või mitu kuppu asuvad haudmeväljal, siis tõenäoliselt on tegu..	sülemikupuga	aseemakupuga		b
Eesti pesaruumi raami mõõt?	232 x 448mm	160 x 448mm	277 x 414mm	c
Üks mesilaspere vajab päevas umbes..	200g vett	1kg vett	koguvad vett ainult siis kui vihma sajab	a
Mida peaks kasutatud taru puhul kindlasti tegema enne, kui uue mesilaspere sinna sisse kolid?	värvima taru	desinfitseerima taru	pesema lennuava	b
Lennuavad soovitatakse asetada kagusse, kuid sobivad ka teised ilmakaared peale..	lõuna	põhja	edela	b
Mesilaspere läbivaatus peaks toimuma..	kord nädalas	kord kuus	nii harva kui võimalik ja nii tihti kui vajalik	c
Mida peaks iga mesilaspere läbivaatusel alati kontollima?	otsima mesilasema	kontrollima kas peres on püstised munad	kontrollima kui palju on mett	b
Kes ehitavad üles kärjepõhjad?	noored tarumesilased	korjemesilased	lesed	a
Mida teha kui alustaval mesinikul ei ole ülesehitatud kärjepõhja uue pere laiendamiseks?	leia internetist mesinik kes annaks/müüks ülesehitatud kärgesid	laiendad kärjepõhjaga	laiendad kärjetamata tühja traaditud raamiga	b
Kuidas toimub lamavtarus pesaruumi laiendamine?	vastavalt mesilaspere arengu kiirusele, üksikute kärgede/kärjepõhjade lisamine pesaruumi keskele, et talvitunud raamid nihkuks järjest ääre poole ja oleks sügisel võimalik välja võtta	iga nädal lisan alati 3 raami	kui mesilased istuvad väljaspool otsalauda, siis on aeg lisada 1 kärg/kärjepõhi	a
Kas mesilaste pidamisel tuleb hobimesinikul lähtuda ka seadustest?	ei, enda kodus määran oma reeglid ise	kui mul on alla 15 mesilaspere, siis ei ole see nii oluline	jah - toiduseadus, loomatauditõrjeseadus, veterinaarkorralduse seadus, taimekaitseseadus ja loomakaitseseadus	c
Alates mitmest mesilasperest loetakse mesindustegevust kui kutseliseks mesinikuks?	50 mesilaspere	100 mesilaspere	150 mesilaspere	c
Kas mina hobimesinikuna (alla 15 mesilasperetohin teha müügiks erinevaid tervendavaid meesegusid?	ei tohi	tohin, aga pean täitma ka mitmeid teistsuguseid seadusega määratud erinõudeid ja dokumentatsiooni		b
Eestis on mesilaste korjemaad..	monokultuursed	segakonveier		b
Kas ma olen kohustatud teavitama veterinaarametit kui selgub, et mu mesilas levib Ameerika haudmemädanik?	kui ma nakatunud tarud kohe ära likvideerin, siis ei pea	jah, pean küll		b
Mis on meemesilase optimaalne korjemaa raadius taru juurest?	kuni 2km kui korjetingimused ei sunni kaugemale minema	500m	10km	a
Kuidas käitun kui näen, et naabri põllul on prits ja mul tekib hirm?	teen pilti, panen internetti ja ootan mis teised asjast arvavad	astun viisakalt ligi, uurin mis ainega on tegu ja kas põllul on märkimisväärselt õitsvaid taimi ning kas põllumees käitub vastavalt taimekaitseseadusele		b
Näed, et suvisel päeval teostatakse pritsimistöid alal kus leidub palju õitsevaid taimi või on oht, et tuul kannab ainet alale kus leidub õitsevaid taimi. Viisakat kommunikatsiooni tööde teostajaga ei saavutanud, kuidas käitud edasi?	tõmban mutrivõtmega ta aknasse	fikseerin võimalusel sündmuse (pildid, videod) ja helistan oma maakonna taimekaitse järelevalveametnikule		b
Mis katab mesilase keha?	keratiinkest ja karvakesed	silikoonkest ja karvakesed	kõva kitiinkest ja karvakesed	c
Mitu silma on mesilasel?	kaks liitsilma	kaks liitsilma ja kolm lihtsilma	viis liitsilma	b
Mesilase ülelõuad liiguvad närides..	külgsuunas	pikkupidi suunas		a
Mitu paari jalgu on mesilasel?	kaks paari	kolm paari	kuus paari	b
Mis on kabetamissälk?	kui mesilase lennutrajektoor on samasugune nagu kabemängus	raamide traatimiseks kasutatav seadeldis	mesilase eesjalgadel asuv poolringikujuline ning tugevate kitiinsete karvadega sälk mida mesilane kasutab tundlate puhastamiseks	c
Kuidas kannab mesilane õietolmu tarru?	meepõies	õietolmukorvikestes	suirakorvikestes	c
Mis otstarbeks on mesilasel suiraastel?	nõelamiseks	õietolmu tampimiseks kärjekannu sisse	selle abil eemaldatakse õietolmutomp suirakorvist	c
Mis on suiratangid?	tangid millega mesinik saab suira kärjest kätte	tangid millega mesilane saab suira kärjest kätte	mesilase tajalgade küljes asuv süvend mille abil pressitakse õietolm tombukeseks enne suirakorvikestesse asetamist	c
Kas lesel on olemas suirakorvikesed, et korjele minna?	jah	ei		b
Mitu paari tiibasid on mesilasel?	üks paar	kaks paari	kolm paari	b
Kui suur võib olla mesilase lennukiirus?	kuni 5km tunnis	kuni 30km tunnis	kuni 70 km tunnis	b
Esimene välislend võib toimuda..	0c	#ERROR!	#ERROR!	b
Nektarist valmistatud mesi sisaldab põhiliselt..	valku	süsivesikuid		b
Õietolm ja sellest valmistatud suir sisaldavad põhiliselt..	valku	süsisvesikuid		a
Mille abil imeb mesilane vett, õiekarikast nektarit ning kärjekannust mett?	neelunäärme abil	alahuule abil	iminoka abil	c
Miks ei ole korrektne öelda, et mesi on mesilase okse?	sest tehniliselt on mesi mesilase kaka	sest eessooles olevas meepõies ei toimu toidu seedimine, vaid nektari hoiustamine ning ventiillehter mesilase meepõie ja kesksoole vahel ei lase seedimisel olevat toitu tagasi eessoolde (nö. okset)		b
Miks vajab mesilane rikkaliku korje ajal rohkesti kärgi?	sest mesilased korjavad kõik kärjekannud ruttu mett täis	sest mesilased vajavad väikeste nektari-törtsude aurutamiseks ning hiljem mee kokku pakkimiseks palju vabu kärjekanne		b
Mis on katalaas?	mesilaste veri	mee kristalliseerumine	rektaalnäärmete eritatud (konserveerimise) ensüüm jämesooles mis takistab roiskumisprotsesside arenemist, eriti talvitumisperioodil kus mesilased ei saa puhastuslendu teha	c
Miks ei sobi mesilastele talvitumiseks rapsi- ja rüpsimesi?	läheb ruttu käärima	kristalliseerub ruttu	on mürgine	b
Miks ei sobi mesilastele talvitumiseks kanarbikumesi?	kristalliseerub ruttu	on mesilastele mürgine c)sisaldab palju mineraalaineid mis takistavad seedejäätmete konserveerumist ja vee imendumist pärasooles	sisaldab palju mineraalaineid mis takistavad seedejäätmete konserveerumist ja vee imendumist pärasooles	c
Miks ei sobi mesilastele talvitumiseks lehemesi?	kristalliseerub ruttu	võib põhjustada kõhulahtisust ning kõrge soolade sisaldus vähendab vee imendumist tagasooles	läheb käärima	b
Mesilaste veri on nõrgalt kollaka värvusega ja nimetatakse..	partenogeneesiks	melanoosiks	hemolümfiks	c
Kus asuvad mesilase hingamisavad?	kõhu all	suuava juures	kahel pool rindmikul ja tagakehal	c
Kus asuvad mesilase vahanäärmed?	mesilase peas	rindmikus, lihaste vahel	tagakeha 3-6 kõhulooke siseküljel	c
Miks mesilane sureb peale nõelamist?	sest iga mesilane saab oma elus vaid ühe korra nõelata	sest tal saab mürk otsa	sest inimest või looma nõelates ei saa ta astla kidade tõttu pisteharjaseid tagasi välja tõmmata ning astel rebeneb mesilase tagakehast lahti	c
Mesilaste värvitaju?	ei näe värve	näevad kõiki värve	eristavad oranži, kollast, rohelist, sinist ja inimsilmale nähtamatut ultraviolettkiirte kolme piirkonda	c
Mesilaste helitaju?	puuduvad spetsiaased kuulmisorganid	kuulmine toimub läbi Malpighi soonte		a
Mesilasmürgi lõhn..	rahustab mesilaspere ja suurendab nende turvatunnet	suurendab pere kaitsmise aktiivsust ja kutsub esile mesilaste agressiivsust		b
Kuidas mesilased pimedas tarus näevad "tööd" teha?	kompimise, haistmise ja kuulmise järgi	mesilased näevad pimedas väga hästi		a
Millal toimub mesilasema paarumislend?	5-10 päeva vanuselt, sooja ja päikesepaistelise ilmaga, vähemalt 10m kõrgusel õhus	16 päeva vanuselt, sooja ja päikesepaistelise ilmaga, vähemalt 10m kõrgusel õhus	5-10 päeva vanuselt, sooja ja päikesepaistelise ilmaga, tavaliselt veekogu kohal	a
Mitme päeva möödudes peale paarumislendu alustab mesilasema munemist?	1 päeva	3-5 päeva	12 päeva	b
Millest oleneb, kas mesilasema muneb töölismesilase või lese muna? see on looduse poolt seatud loterii bkärjekannu ehitusest millest olenevalt mesilasema seemnepaun saab närviimpulsi (viljastatud munavõi mitte (viljastamata muna)	see on looduse poolt seatud loterii	kärjekannu ehitusest millest olenevalt mesilasema seemnepaun saab närviimpulsi (viljastatud muna) või mitte (viljastamata muna)		b
Üks mesilasema suudab ööpäevas muneda umbes..	1000 muna	2500 muna 3) 5000 muna		b
Millal toimub mesilasperes "uuenemisperiood?"	septembris-oktoobris	1-1,5 kuu vältel peale puhastuslendu kevadel	jaanipäeval	b
Kui korralikus suuruses mesilaspere ei taha suve algul kärjepõhjasid üles ehitada, võib see olla märk...	et sel aastal tuleb kehva korjega suvi	mesilaspere röövitakse teise pere poolt	mesilasperel võib olla sülemlemismeeleolu	c
Mis on lehemesi ehk mesikaste?	mesi mille nektar on kogutud õitsevatelt laialehelistelt puudelt ja taimedelt	mesi mis on valmistatud inimestele mürgisest nektarist	magus kleepuv vedelik mis paikneb puude ja põõsaste lehtedel ning jaguneb tekke järgi taimseks ja loomseks mesikasteks	c
Kumb on õige?	korjemesilased paigutavad kogutud nektari ise vabadesse kärjekannudesse	korjemesilased annavad kogutud nektari üle tarumesilastele kes paigutavad nektari vabadesse kärjekannudesse		b
Lepalt ja sarapuult korjavad mesilased varakevadel..	nektarit	õietolmu		b
Mis värvi ja maitsega on loomne mesikaste?	värvuselt tume oranž kuni punane ja maitselt lääge magus	helekollane ja hapu	rohekaspruun kuni tumepruun ja maitselt mõrkjas	c
Miks koguvad mesilased õietolmu?	et aidata taimedel tolmeldada	et valmistada mesilaspere arenguks hädavajalikku suira		b
Kuidas konserveerivad mesilased suira nii, et see riknema ei hakka?	suirakannud kaetakse antibakteriaalse taruvaiguga	suirakannud kaetakse pealt meega		b
Kumb on õige?	valmimisjärgus suirakannud on pealt tuhmid, konserveeritud suir läigib	valmimisjärgus suirakannud läigivad, konserveeritud suir on pealt tuhm		b
Selle algaine kogutakse kase, papli, haava, paju jt taimede pungadelt, tuuakse tarru suirakorvikestes ning sellest valmistatakse..	suira	lehemett	taruvaiku	c
Mesilased kasutavad "seda" kärjekannude puhastamiseks ja desinfitseerimiseks, pragude täitmiseks, lennuava kitsendamiseks ja tarru sattunud kahjurite palsameerimiseks.	vesi	okkamesi	taruvaik	c
Elatuskorje on..	korjeperiood kus mesilaspere kogub oma põhilise meetagavara	korjevaene periood kus mesilased kasutavad kogutud nektari kogu ulatuses ära haudme ja täiskasvanud mesilaste toitmiseks		b
Produktiiv- ja peakorje alguse tunnuseks on kui tarukaal hakkab tõusma..	üle 2kg ööpäevas	üle 5kg ööpäevas	üle 0,5kg ööpäevas	a
Kui ilusa ilmaga suveõhtul kostab lendlast tugevat suminat siis..	mesilased on ärritunud seisundis	mesilased valmistuvad järgmisel päeval sülemlema	mesilased aurutavad nektarist vett välja st. toodavad mett	c
Paju, vaher, võilill ja paakspuu on..	Eesti looduse olulised kevadised meetaimed	Eesti looduse olulised sügisesed õietolmutaimed		a
Metsvaarikas, valge ristik ja põdrakanep on..	Eesti looduse olulised sügisesed õietolmutaimed	Eesti looduse olulised sügisesed meetaimed	Eesti looduse olulised suvised peakorjetaimed	c
Sügistest meetaimedest omab korje seisukohalt tähtsust..	kuldvits	põdrakanep	kanarbik	c
Ussikeel, keerispea ja valge mesikas on..	väga hea nektariproduktiivsusega taimed	väga nõrga meeproduktiivsusega taimed		a
Juuli kuu, ilm on terve nädala olnud näitajatega õhk +30c, tuulevaikne, otsepäike ja 0ml sademeid, peakorje taimed õitsevad. Kas nektarisaagikus on pigem tugev või nõrk?	ilm soosib head korjet	mesilased võivad käia õitel, kuid taimed ei erita nektarit kuiva ja palava ilma tõttu		b
Nektari suhkrusisaldus on 8-70%. Mis juhtub, kui kuiva õhu tagajärjel õitel olevates nektaritilgakestes vesi välja aurustub ning nektarinäärmetesse jäävad alles suhkrukristallid, st. suhkrusisaldus on üle 75%?	mesilane lahustab oma süljega kristallikese	mesilased sellist nektarit koguda ei saa		b
Nektari suhkrusisaldus on 8-70%. Mis juhtub, kui õues on pikemat aega niiske või vihmane ilm olnud mille tulemusel nektari suhkrusisaldus lahjeneb alla 4,25%?	sellisest nektarist toodetud meel on vesine maitse	mesilased sellist nektarit koguda ei taha		b
Tolmeldamisteenuse (mesilaspered viiakse spetsiaalselt tolmeldatava kultuuri lähedusseeest maksab..	mesinik (jätab ka mee endale)	tolmeldatava kultuuri omanik		b
Kui ma mesilaspere õigel ajal ei laienda, siis..	ma pidurdan mesilaspere arengut ning mesilaspere lahendab olukorra mesiniku jaoks ebasoodsal viisil	ma pidurdan mesilaspere arengut, kuid hooaja lõpuks on mul sama tugev pere alles		a
Lamavtaru ostes/ehitades peaksin tänapäeval kindlasti eelistama..	et taru on värvitud kvaliteetsete värvidega	et taru katusematerjal ei oleks plekk	et taru konstruktsioon võimaldab laiendada rohkem magasine kui seda vanasti vaja oli, sest mesilaspered on muutunud võimekamateks	c
Mesilaspere haigestumise korral neile efektiivset ravi pakkudes saan..	päästa juba haiged mesilased ja haige haudme	päästa mesilaspere		b
Kui hukkunud haue kleepub kärjekannu seina külge, siis mesilased..	tassivad selle tarust välja	üritavad katta taruvaigukihiga		b
Kui hukkunud haue ei kleepu kärjekannu seina külge, siis mesilased..	tassivad selle tarust välja	üritavad katta taruvaigukihiga		a
Kui on haigestunud kaanetatud haue, siis..	mesilased närivad haudmekannu kaanetisse augud, et surnud haue võimalusel välja tassida	mesilased hülgavad haigestunud haudmega kärje		a
Mesilaspere haigused on alati nakkushaigused st. pole kunagi tingitud mesiniku mesindusvõtetest ja mesilaste pidamistingimustest. Kas see väide on õige või väär?	õige	väär		b
Ma olen kaanetamata haudme haigus. Vaglad kaotavad oma läike ja muutuvad kollaseks, hiljem tumedaks. Hukkunud vaglad ei kuiva kärjekannu külge kinni ja mesilased tassivad neid võimalusel ise tarust välja. Tarus on tunda hapukat riknenud liha lõhna. Haigust kannavad edasi noored tarumesilased kes toidavad vaklu. Mis ma olen?	Ameerika haudmemädanik (AHM)	Euroopa haudmemädanik (EHM)	Kotthaue	b
Ma olen kaanetatud haudme haigus. Vaglad värvuvad kohvipruuniks, hakkavad venima ning kuivavad kärjekannu seina külge kinni. Kaanetis langeb sisse, tarus on tunda halba lõhna. Minu eosed säilivad elujõulisena kümneid aastaid nii mees, suiras kui ka vahas. Olen väga nakkuslik ja ohtlik kogu mesilale.	kivihaue ehk aspergilloos	Ameerika haudmemädanik (AHM)	amöbiaas	b
Ma olen kaanetatud kui ka kaanetamata haudme haigus. Vagel muutub valgeks muumiaks, hiljem tumedaks ning kattub vatitaolise seeneniidistikuga. Vaglad on nagu kriiditükikesed ja kärjekannudest kergesti eemaldatavad	akarapidoos	brauloos ehk mesilastäi	lubihaue ehk askosferoos	c
Minu seened arenevad kärjekannudes meega katmata (konserveerimatasuiral. Algul on suir kaetud valkja kirmega, kevadeks muutub suir kõvaks, värvub valkjaks või hallikasroheliseks ning muutub mesilastele kasutamiskõlbmatuks. Kes ma olen?	suiral. Algul on suir kaetud valkja kirmega, kevadeks muutub suir kõvaks, värvub valkjaks või hallikasroheliseks ning muutub mesilastele kasutamiskõlbmatuks. Kes ma olen? käärinud suir	suirahallitus		b
Ma olen mesilase välisparasiit ja toitun mesilase hemolümfist. Elan talvel mesilase kõhuloogete vahel ning haudmetegevuse algusega suundun haudmekannudesse paljunema, suvel on mind näha ka mesilase seljas. Kannan edasi mitmeid viiruseid ning olen üheks peamiseks põhjuseks mesilasperede hukkumisel. Minu vastu ei ole 100% tõrjet, kuid mesinikud peaks kasutama erinevaid võtteid, et minu levikut ohjata. Kes ma olen?	brauloos ehk mesilastäi	lest Varroa destructor ehk varroatoos	raamatuskorpion	b
Olen nähtus mis on hakanud levima viimastel aastatel, augustist oktoobrini, kuid mulle puudub täpne seletus. Põhjuseks on ilmselt mitmete tegurite koosmõju sh. varroatoos. Mesilased võtavad enamiku sügisesest täiendussöödast vastu, paigutavad kärgedesse ja on seejärel lihtsalt kadunud. Kuidas mind nimetatakse?	sügisene sülemlemine	kollaps	salajane emadevahetus	b
Peres on vähe mesilasi ja korje on napp, näed, et mesilased hakkavad vaklu tarust välja tassima. Mis võib olla sellise käitumise põhjuseks?	varroatoos	nälg	sooleummistus ehk maihaigus	b
Miks ei vurritata üldiselt kaanetamata mett?	sest see tähendab, et mesilastel pole veel piisavalt tagavarasid	mesilased pole meele ensüüme jõudnud lisada	vee sisaldus mees on veel ilmselt liiga suur	c
Kas mesilasi tohib meekärjelt eemaldada neid raamilt tagasi tarru raputades?	ei	jah		b
Kas kinnise haudmega raami tohib raputada, et mesilasi eemaldada?	jah	ei tohi, sest varajases staadiumis kaanetatud haue on õrn ja võib hukkuda		b
Kas mett tohib säilitada tsingist, vasest, rauast ja alumiinimust nõudes?	jah	ei		b
Mida tähendab "mee selitamine?"	kristalliseerunud mee sulatamine talvel	vurritatud mee laskmine läbi meesõela	mitmepäevane protsess kus vurritatud meel lastakse seista, et viimased läbi meesõela pääsenud võõrkehad tõuseks mee pinnale	c
Mesilaste sügisese täiendussööda andmine võiks lõppeda augustikuu lõpuks, sest..	siis saab mesinik hooaja ruttu lõppenuks lugeda	sest sügisesed ilmad võivad raskendada mesilaste söötmist	sest nii ei koorma talvituma minevad mesilased end talvesööda ümbertöötlemise tööga	c
Kui tumedad kärjed on kõige ökonoomsem ning mesilasemale meelepäraseim talvepessa jätta?	kõige värskemad, heledad meekärjed	keskmise tumedusega kärjed	eelmise hooaja talvitunud kärjed	b
Miks peab mesilaspere talvepessa jätma suiraraame?	juhul kui mesilasema hakkab talvel munema	mesilased tarbivad talvesöödana ka suira	et kevadel oleks esimesel haudmel söödavaru olemas ajaks kui väliskorjele veel ei pääse	c
Peale sügist pesaruumi koondamist ja meeraamide eemaldust on tarus mesilasi rohkem kui sel hetkel raamidele mahub. Kas selline vaatepilt on normaalne?	jah	ei		a
Miks ei tasu sügisel meevõtmise päeval hoida taru avatuna kauem kui vajalik; hoida kärjekandekasti ning meeruumi lligipääsetavana ning jätta meega määrdunud inventari ripakile?	see meelitab herilasi ründama mesilasperesid	see soosib mesilasperedevahelist vargust korjevaesel ajal		b
On augustikuu lõpp, oled mõni päev tagasi alustanud mesilasperede koondamist ja lisasöötmist. Märkad taru juures tihedat lendlust, mõned mesilased otsivad taru väliseintelt võimalikku sissepääsu ning lennulaual on näha närvilisi mesilasi. Millega võib olla tegu?	mesilased leidsid kanarbikukorje	mesilased on stressis äravõetud mee pärast	mesilaspered proovivad röövida üksteist	c
Kas mesilasperedevaheline röövimine võib lõppeda ka pere hävinguga?	jah	ei		a
Millal võiks taru lennuava kitsendada minimaalseks?	peakorje ajal	talvel	sügisese meevõtu ja pesaruumi koondamise ajal	c
Kas on ohtlik jätta mesine inventar või tühjaks vurritatud kärjed õue mesilastele puhastamiseks?	ei ole, seda praktiseerivad paljud mesinikud	on ohtlik, sest lisaks vargustungi soosimisele lihtsustab see haiguste levikut		b
Kas tühjaks vurritatud kärjed võib panna tarru mesilastele "limpsimiseks" samal päeval kui alustada täiendussööda andmist?	jah	ei		b
Millise seadme abil on taru juures lihtne ja mugav kontrollida mee valmidust st. mee niiskusesisalduse taset?	konduktomeeter	refraktomeeter		b
Milline on toiduseaduse maksimaalne lubatud niiskusetase mees? (v.a kanarbikumesi)	18%	19%	20%	c
